,Sample Size,Variance,Sum of Eigenvalues,Sum of Square Root of Eigenvalues
222,100000,"[704.8044530584353, 973.8410493990033, 972.9189048379618]",2651.5909232046315,68.88208711380658
223,100000,"[501.63948245245456, 1072.140904965512, 1073.9173603231343]",2647.7242249833516,68.81668226676416
224,100000,"[2130.300568119467, 260.5165427740213, 262.49798392701206]",2653.3416282367853,68.9150107799793
225,100000,"[200.106605312552, 1230.3566133599122, 1216.2818237481356]",2646.7715101357026,68.790188016412
226,100000,"[105.43377796519368, 1273.1089509484354, 1266.38673368977]",2644.955912162523,68.83231607897144
227,100000,"[863.2498902830948, 887.4207574268626, 888.2811712262419]",2638.978208718285,68.7383345159563
228,100000,"[323.02875353486525, 1169.6888872762463, 1168.5989909186883]",2661.3432451622525,68.96749837883746
229,100000,"[1795.7495339832356, 426.1292513434523, 423.3905032130109]",2645.2957414971147,68.85425103376315
230,100000,"[2335.8017845753425, 153.9191653626367, 155.41009925612096]",2645.1575007691113,68.83139077505673
231,100000,"[2374.2260736364765, 130.45253649879464, 129.7706135601286]",2634.4755684510856,68.72123270210811
232,100000,"[110.2947017018586, 1267.0785666886172, 1261.6014242418248]",2639.0010826431258,68.73768850215616
233,100000,"[105.4087075814345, 1280.2591276854798, 1276.1404432957856]",2661.834896911668,69.00254195258458
234,100000,"[1986.0831175893268, 321.72502415745845, 319.4855757039145]",2627.3199906506056,68.62880442482015
235,100000,"[1690.376443999285, 471.345457635547, 469.73653805756794]",2631.4847545399452,68.67737831544837
236,100000,"[102.89405244134863, 1268.3230211187515, 1261.6251149648988]",2632.8685172101714,68.67097546604434
237,100000,"[1190.9526876033026, 736.5115561493712, 735.020050188425]",2662.5109190502903,69.00974913267137
238,100000,"[1991.1121851258304, 329.68938655903673, 329.2000836931333]",2650.028155659558,68.88101760213728
239,100000,"[1369.8085221407625, 630.6243142374284, 636.3047425567092]",2636.763946574366,68.6929676769682
240,100000,"[431.57295329781664, 1105.7461932601977, 1105.3498081870848]",2642.695381698916,68.7784159884377
241,100000,"[1953.9743916543484, 336.1767951675634, 335.0442225626871]",2625.221661601216,68.63215555619341
242,100000,"[460.1597008432174, 1090.8038369741905, 1089.055896830492]",2640.0458351062525,68.79151034104308
243,100000,"[163.98278088325017, 1239.838028691124, 1242.2683394806252]",2646.1156102111045,68.79519696275094
244,100000,"[123.69494039113619, 1260.5576308598743, 1260.0641659727908]",2644.3431806556055,68.87265473685132
245,100000,"[155.3861261636258, 1243.8039581167004, 1242.582541753175]",2641.799044023938,68.79330781522886
246,100000,"[699.6668186806273, 975.7372433710133, 976.4400618542605]",2651.870642612324,68.87861092263623
247,100000,"[359.74378126637794, 1131.2861322340145, 1130.9523732646064]",2622.0085068500675,68.5951519149516
